Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7687,14738,22425
February 28 2017,7888,15206,23094
March 31 2017,8092,15596,23688
April 30 2017,8286,16104,24390
May 31 2017,8497,16569,25066
June 30 2017,8751,16987,25738
July 31 2017,8931,17380,26311
August 31 2017,9147,17679,26826
September 30 2017,9374,18079,27453
October 31 2017,9649,18525,28174
November 30 2017,9888,18878,28766
December 31 2017,10120,19186,29306
January 31 2018,10534,19734,30268
February 28 2018,10833,19977,30810
March 31 2018,11180,20394,31574
April 30 2018,11514,20925,32439
May 31 2018,11933,21702,33635
June 30 2018,12356,22435,34791
July 31 2018,12649,22985,35634
August 31 2018,12963,23578,36541
September 30 2018,13292,24163,37455
October 31 2018,13640,25519,39159
November 30 2018,14020,26781,40801
December 31 2018,14343,27722,42065
January 31 2019,14726,29111,43837
February 28 2019,14891,29688,44579
March 31 2019,15038,30029,45067
April 30 2019,15293,31050,46343
May 31 2019,15558,31746,47304
June 30 2019,15807,32577,48384
July 31 2019,16070,33559,49629
August 31 2019,16275,34309,50584
September 30 2019,16507,35076,51583
October 31 2019,16788,36650,53438
November 30 2019,16960,37102,54062
December 31 2019,17130,37755,54885
January 31 2020,17353,39785,57138
February 29 2020,17465,40267,57732
March 31 2020,17608,41000,58608
April 30 2020,17567,41345,58912
May 31 2020,17580,41337,58917
June 30 2020,17680,41599,59279
July 31 2020,17816,42999,60815
August 31 2020,17962,43596,61558
September 30 2020,18173,44165,62338
October 31 2020,18427,45184,63611
November 30 2020,18601,46542,65143
December 31 2020,18891,47340,66231
January 31 2021,19223,48906,68129
February 28 2021,19511,49774,69285
March 31 2021,19867,50597,70464
April 30 2021,20323,52461,72784
May 31 2021,20725,53706,74431
June 30 2021,21313,54825,76138
July 31 2021,21716,56874,78590
August 31 2021,22131,58397,80528
September 30 2021,22458,59596,82054
October 31 2021,22870,61320,84190
November 30 2021,23279,62957,86236
December 31 2021,23559,64459,88018
January 31 2022,23895,66052,89947
February 28 2022,24199,67649,91848
March 31 2022,24653,69249,93902
April 30 2022,25012,71651,96663
May 31 2022,25480,73038,98518
June 30 2022,25993,74721,100714
July 31 2022,26298,77174,103472
August 31 2022,26752,79479,106231
September 30 2022,27090,80945,108035
October 31 2022,27439,84219,111658
November 30 2022,27787,87525,115312
December 31 2022,28213,89888,118101
January 31 2023,28747,93181,121928
February 28 2023,29293,95640,124933
March 31 2023,29964,98210,128174
April 30 2023,30899,101586,132485
May 31 2023,31687,105105,136792
June 30 2023,32548,108708,141256
July 31 2023,33159,112333,145492
August 31 2023,34000,117790,151790
September 30 2023,34761,120768,155529
October 31 2023,35314,124153,159467
