Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
April 30 2018,Alameda,CA,Passenger,0,1,1,356,357,0.28
March 31 2021,Kern,CA,Passenger,0,1,1,216,217,0.46
February 29 2020,Kootenai,ID,Passenger,1,1,2,228,230,0.87
February 28 2021,Polk,FL,Passenger,1,0,1,58,59,1.69
April 30 2022,Frederick,MD,Passenger,1,1,2,70,72,2.78
December 31 2022,Charleston,SC,Passenger,2,2,4,60,64,6.25
December 31 2021,Maui,HI,Passenger,1,0,1,27,28,3.57
August 31 2022,Adams,WA,Passenger,21,9,30,12960,12990,0.23
April 30 2022,Grant,WA,Truck,0,0,0,28075,28075,0.00
April 30 2021,Fort Bend,TX,Passenger,1,0,1,39,40,2.50
March 31 2023,Coryell,TX,Passenger,1,0,1,78,79,1.27
September 30 2023,Currituck,NC,Passenger,1,0,1,17,18,5.56
September 30 2018,Monroe,IL,Passenger,1,0,1,5,6,16.67
July 31 2017,Grant,WA,Passenger,19,30,49,61003,61052,0.08
November 30 2022,Ferry,WA,Passenger,24,4,28,4367,4395,0.64
April 30 2018,Maricopa,AZ,Passenger,2,2,4,1598,1602,0.25
December 31 2019,Anne Arundel,MD,Passenger,1,1,2,441,443,0.45
May 31 2021,Milwaukee,WI,Passenger,1,0,1,41,42,2.38
December 31 2021,Sarpy,NE,Passenger,1,0,1,64,65,1.54
August 31 2023,Snohomish,WA,Passenger,13916,3209,17125,523125,540250,3.17
September 30 2023,Pierce,WA,Passenger,8501,2967,11468,520136,531604,2.16
July 31 2020,San Diego,CA,Passenger,15,5,20,2765,2785,0.72
November 30 2022,Clark,NV,Passenger,9,2,11,455,466,2.36
February 28 2017,Clark,WA,Truck,0,0,0,77518,77518,0.00
June 30 2022,Hudson,NJ,Passenger,2,0,2,37,39,5.13
July 31 2020,Placer,CA,Passenger,2,0,2,92,94,2.13
February 29 2020,Suffolk,MA,Passenger,0,1,1,39,40,2.50
August 31 2019,Howard,MD,Passenger,0,1,1,76,77,1.30
July 31 2023,Mercer,NJ,Passenger,0,1,1,10,11,9.09
April 30 2020,Douglas,WA,Passenger,69,40,109,28014,28123,0.39
September 30 2020,Whitman,WA,Truck,0,0,0,8501,8501,0.00
January 31 2018,Montgomery,TN,Passenger,1,0,1,275,276,0.36
March 31 2018,Brevard,FL,Passenger,0,1,1,102,103,0.97
October 31 2017,Canyon,ID,Passenger,0,1,1,94,95,1.05
October 31 2018,Collier,FL,Passenger,1,0,1,20,21,4.76
February 28 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
May 31 2023,Denton,TX,Passenger,1,0,1,48,49,2.04
February 28 2022,Lane,OR,Passenger,0,2,2,112,114,1.75
October 31 2023,New London,CT,Passenger,1,4,5,150,155,3.23
August 31 2021,Broward,FL,Passenger,2,0,2,112,114,1.75
May 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20.00
June 30 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
January 31 2021,El Paso,TX,Passenger,3,0,3,402,405,0.74
February 28 2023,El Paso,CO,Passenger,3,2,5,528,533,0.94
October 31 2017,Franklin,OH,Passenger,0,1,1,112,113,0.88
January 31 2022,Onslow,NC,Passenger,0,1,1,173,174,0.57
October 31 2022,El Paso,CO,Passenger,3,2,5,567,572,0.87
October 31 2020,Monterey,CA,Passenger,0,1,1,158,159,0.63
April 30 2018,Okaloosa,FL,Passenger,1,0,1,175,176,0.57
August 31 2017,Clallam,WA,Truck,0,0,0,21058,21058,0.00
January 31 2018,Pacific,WA,Truck,0,0,0,7535,7535,0.00
January 31 2018,Nassau,NY,Passenger,1,0,1,39,40,2.50
October 31 2023,Benton,OR,Passenger,1,0,1,24,25,4.00
August 31 2017,Lewis,WA,Truck,0,0,0,25015,25015,0.00
September 30 2018,Palm Beach,FL,Passenger,0,1,1,88,89,1.12
June 30 2017,Saratoga,NY,Passenger,1,1,2,74,76,2.63
February 29 2020,Williams,ND,Passenger,0,1,1,13,14,7.14
July 31 2019,Jefferson,WA,Passenger,202,118,320,25060,25380,1.26
July 31 2020,Stevens,WA,Passenger,37,35,72,30616,30688,0.23
October 31 2017,Lincoln,WA,Truck,0,0,0,4489,4489,0.00
January 31 2018,Lincoln,WA,Truck,0,0,0,4502,4502,0.00
April 30 2020,Harnett,NC,Passenger,1,0,1,207,208,0.48
December 31 2021,Clackamas,OR,Passenger,2,0,2,161,163,1.23
February 28 2022,Oldham,KY,Passenger,0,1,1,4,5,20.00
March 31 2017,Okanogan,WA,Passenger,3,16,19,25640,25659,0.07
July 31 2018,San Juan,WA,Passenger,149,62,211,14113,14324,1.47
February 29 2020,Cascade,MT,Passenger,0,1,1,57,58,1.72
November 30 2020,Chelan,WA,Truck,0,0,0,22774,22774,0.00
February 28 2019,Nueces,TX,Passenger,1,1,2,89,91,2.20
August 31 2017,Canyon,ID,Passenger,0,1,1,98,99,1.01
April 30 2019,Saratoga,NY,Passenger,1,0,1,56,57,1.75
July 31 2019,Bucks,PA,Passenger,1,0,1,23,24,4.17
May 31 2018,Kitsap,WA,Passenger,780,453,1233,177888,179121,0.69
March 31 2019,Thurston,WA,Passenger,802,598,1400,196142,197542,0.71
April 30 2018,Grays Harbor,WA,Truck,0,0,0,20129,20129,0.00
June 30 2023,Pend Oreille,WA,Truck,0,0,0,5599,5599,0.00
February 28 2022,Suffolk,VA,Passenger,1,0,1,122,123,0.81
November 30 2019,Ferry,WA,Passenger,5,2,7,4415,4422,0.16
September 30 2021,Suffolk,VA,Passenger,1,0,1,127,128,0.78
April 30 2018,Pinal,AZ,Passenger,2,0,2,208,210,0.95
January 31 2021,Charles,MD,Passenger,1,1,2,75,77,2.60
February 28 2021,Pacific,WA,Passenger,37,38,75,15815,15890,0.47
March 31 2020,Multnomah,OR,Passenger,4,7,11,741,752,1.46
April 30 2023,St. Clair,IL,Passenger,2,0,2,100,102,1.96
November 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
January 31 2020,King,WA,Truck,6,1,7,182640,182647,0.00
January 31 2019,Walla Walla,WA,Truck,0,0,0,13535,13535,0.00
September 30 2021,New London,CT,Passenger,1,4,5,214,219,2.28
May 31 2021,Lane,OR,Passenger,0,2,2,134,136,1.47
August 31 2021,Klamath,OR,Passenger,1,0,1,30,31,3.23
February 28 2023,Adams,WA,Passenger,21,11,32,13017,13049,0.25
June 30 2020,Douglas,NE,Passenger,0,1,1,55,56,1.79
August 31 2021,Baltimore,MD,Passenger,1,0,1,97,98,1.02
October 31 2019,Hawaii,HI,Passenger,1,0,1,59,60,1.67
December 31 2019,Oklahoma,OK,Passenger,0,1,1,132,133,0.75
October 31 2022,Lake,IN,Passenger,0,1,1,10,11,9.09
April 30 2019,Tarrant,TX,Passenger,2,0,2,206,208,0.96
August 31 2022,DuPage,IL,Passenger,0,1,1,46,47,2.13
October 31 2018,Fulton,GA,Passenger,1,2,3,108,111,2.70
April 30 2023,Galveston,TX,Passenger,0,1,1,17,18,5.56
January 31 2023,Kauai,HI,Passenger,1,1,2,15,17,11.76
